pen_rate,inel_rate,scenario,markov_rho,n_houses,dt_hr,P_community_peak_kw,P_onpeak_peak_kw,CF_onpeak,P50_kw,P90_kw,P99_kw,CF,CF_ci_lo,CF_ci_hi,ramp_rate_kw_per_min,trough_kw,load_factor,E_annual_kwh,E_pv_kwh,E_ev_kwh,E_ev_grid_import_kwh,E_ev_grid_export_kwh,E_cost_usd,demand_charge_usd,total_bill_usd,E_carbon_kg,E_baseline_cost_usd,E_ev_cost_usd,E_batt_cost_usd,E_pv_credit_usd,decomp_err_pct,P_peak_building_kw,P_peak_ev_kw,P_peak_batt_kw,P_peak_pv_kw,demand_charge_lb_uniform_usd,demand_charge_lb_opf_usd,optimality_gap_pct,comm_free_oracle_gap_pct,active_set_rho_cert,lp_opf_status,lp_opf_g2v_day_kwh,lp_opf_v2g_day_kwh,lp_opf_peak_kw,lp_opf_peak_hour,L_community,L_per_house_max,L_n_elastic,L_p_baseline_kw,jain_fairness,SRE_ratio,SRE_ci_lo,SRE_ci_hi,MIT_ratio,MIT_ci_lo,MIT_ci_hi,VF_ratio,VF_ci_lo,VF_ci_hi,HYB_ratio,HYB_ci_lo,HYB_ci_hi,SRE_onpeak,MIT_onpeak,VF_onpeak
0.500000,0.100000,2,0.400000,50,0.166670,315.309900,89.687000,0.458190,19.010400,166.831800,300.311800,0.823029,0.771613,0.864999,12.245890,0.000000,0.162734,449489.340000,257426.980000,150372.250000,150372.250000,0.000000,163656.130000,137117.520000,300773.650000,135356.400000,35832.650000,52756.160000,82508.160000,7440.840000,0.000000,33.024200,32.285700,250.000000,0.000000,23010.160000,7792.360000,1659.640000,10.650000,0.763000,ok,412.000000,0.000000,17.376600,21,,5.202885,44,0.713000,0.812067,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
0.500000,0.100000,3,0.400000,50,0.166670,141.745300,141.745300,0.428671,10.572300,43.969200,87.373300,0.413924,0.320405,0.494621,3.996010,0.000000,0.123681,153573.270000,257426.980000,150433.420000,150433.420000,0.000000,57991.830000,49782.120000,107773.950000,48127.810000,26916.960000,31863.600000,323.660000,1112.380000,0.000000,36.770600,105.000000,-0.025300,0.000000,7861.690000,7316.170000,580.440000,175.580000,0.525000,ok,412.000000,0.000000,16.314700,4,,5.202885,44,0.713000,0.419639,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
0.500000,0.100000,4,0.400000,50,0.166670,255.718500,81.226500,0.449884,13.048500,208.313000,240.611500,0.729482,0.623062,0.780152,1.576010,0.000000,0.203585,456049.670000,257426.980000,146885.760000,146885.760000,0.000000,165512.890000,111911.890000,277424.790000,130709.980000,35448.730000,55323.610000,82401.870000,7661.320000,0.000000,38.031200,112.218000,105.470000,0.000000,23345.990000,7590.700000,1374.330000,61.650000,0.324000,ok,402.980000,0.000000,16.926900,21,,5.202885,44,0.712600,0.828458,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
0.500000,0.100000,5,0.400000,50,0.166670,288.966400,93.216700,0.477971,21.817100,149.780800,248.159200,0.757850,0.693807,0.787893,3.758590,0.000000,0.176150,445895.300000,257426.980000,150100.470000,150100.470000,0.000000,162322.680000,124373.560000,286696.250000,129474.750000,37375.890000,51326.490000,80984.590000,7364.280000,0.000000,32.933500,101.874100,154.158700,0.000000,22826.170000,9159.440000,1257.870000,38.630000,0.641000,ok,411.360000,0.000000,20.425100,22,,5.202885,44,0.713000,0.813186,1.988358,1.560009,2.699705,0.899931,0.766278,1.006490,0.984896,0.802273,1.177002,1.023197,0.893366,1.188680,1.068862,1.043172,0.941237
0.500000,0.300000,0,0.400000,50,0.166670,141.745300,141.745300,0.428671,10.572300,43.969200,87.373300,0.413924,0.320405,0.494621,3.996010,0.000000,0.123681,153573.270000,257426.980000,150433.420000,150433.420000,0.000000,60259.390000,49782.120000,110041.500000,48127.810000,27164.080000,33890.170000,317.520000,1112.380000,0.000000,36.770600,105.000000,-0.025300,0.000000,7861.690000,7316.170000,580.440000,175.580000,0.525000,ok,412.000000,0.000000,16.314700,4,,5.202885,38,0.713000,0.420078,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
0.500000,0.300000,1,0.400000,50,0.166670,217.421800,107.216700,0.496314,23.286900,167.211900,200.215700,0.695933,0.602455,0.746565,3.385510,0.000000,0.234825,447251.250000,257426.980000,150163.050000,150163.050000,0.000000,163745.820000,94535.240000,258281.060000,130888.980000,36502.070000,52233.990000,82402.490000,7392.740000,0.000000,34.916600,62.974300,119.530000,0.000000,22895.590000,7803.550000,1111.440000,37.510000,0.513000,ok,411.610000,0.000000,17.401500,22,38.821140,5.202885,38,0.713000,0.813008,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
0.500000,0.300000,2,0.400000,50,0.166670,315.309900,104.522500,0.482244,19.478800,145.831800,300.311800,0.806638,0.750455,0.854520,9.994020,0.000000,0.162050,447600.190000,257426.980000,150372.250000,150372.250000,0.000000,163893.970000,137117.520000,301011.490000,135249.890000,35916.680000,52868.410000,82508.160000,7399.280000,0.000000,33.024200,32.285700,250.000000,0.000000,22913.450000,7792.360000,1659.640000,10.650000,0.629000,ok,412.000000,0.000000,17.376600,21,,5.202885,38,0.713000,0.811651,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
0.500000,0.300000,3,0.400000,50,0.166670,141.745300,141.745300,0.428671,10.572300,43.969200,87.373300,0.413924,0.320405,0.494621,3.996010,0.000000,0.123681,153573.270000,257426.980000,150433.420000,150433.420000,0.000000,57991.830000,49782.120000,107773.950000,48127.810000,26916.960000,31863.600000,323.660000,1112.380000,0.000000,36.770600,105.000000,-0.025300,0.000000,7861.690000,7316.170000,580.440000,175.580000,0.525000,ok,412.000000,0.000000,16.314700,4,,5.202885,38,0.713000,0.419639,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
0.500000,0.300000,4,0.400000,50,0.166670,255.718500,81.226500,0.449884,13.048500,208.313000,240.611500,0.729482,0.623062,0.780152,1.576010,0.000000,0.203585,456049.670000,257426.980000,146885.760000,146885.760000,0.000000,165512.890000,111911.890000,277424.790000,130709.980000,35448.730000,55323.610000,82401.870000,7661.320000,0.000000,38.031200,112.218000,105.470000,0.000000,23345.990000,7590.700000,1374.330000,61.650000,0.324000,ok,402.980000,0.000000,16.926900,21,,5.202885,38,0.712600,0.828458,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
0.500000,0.300000,5,0.400000,50,0.166670,276.604500,107.216700,0.496314,26.236500,143.341500,235.147100,0.727532,0.645351,0.774921,3.470780,0.000000,0.183289,444118.770000,257426.980000,150144.870000,150144.870000,0.000000,162602.010000,117494.260000,280096.270000,130113.250000,37380.470000,51619.900000,80925.870000,7324.220000,0.000000,35.502400,67.607600,173.494500,0.000000,22735.230000,9290.120000,1164.720000,31.820000,0.511000,ok,411.440000,0.000000,20.716500,9,,5.202885,38,0.713000,0.812649,1.948759,1.517232,2.667000,0.862758,0.705022,0.994816,1.048207,0.834572,1.294955,1.045405,0.864427,1.286272,1.124975,1.029176,0.906450
